"GEO_ID","NAME","NAICS2017","NAICS2017_LABEL","NAICS2017_F","LFO","LFO_LABEL","EMPSZES","EMPSZES_LABEL","YEAR","ESTAB","PAYANN","PAYANN_N","PAYQTR1","PAYQTR1_N","EMP","EMP_N"
"id","Geographic Area Name","2017 NAICS code","Meaning of NAICS code","2017 NAICS Footnote","Legal form of organization code","Meaning of Legal form of organization code","Employment size of establishments","Meaning of Employment size of establishments","Year","Number of establishments","Annual payroll ($1,000)","Noise range for annual payroll ","First-quarter payroll ($1,000)","Noise range for first-quarter payroll (%)","Number of employees","Noise range for number of paid employees for pay period including March 12 "
"0500000US06001","Alameda County, California","221115","Wind electric power generation","null","001","All establishments","001","All establishments","2018","4","5102","G","1779","G","47","G"
"0500000US06013","Contra Costa County, California","221111","Hydroelectric power generation","null","001","All establishments","001","All establishments","2018","3","268","G","88","G","5","G"
"0500000US06013","Contra Costa County, California","221111","Hydroelectric power generation","null","001","All establishments","210","Establishments with less than 5 employees","2018","3","N","N","N","N","N","N"
"0500000US06013","Contra Costa County, California","221114","Solar electric power generation","null","001","All establishments","001","All establishments","2018","4","9589","G","2695","H","72","G"
"0500000US06019","Fresno County, California","221111","Hydroelectric power generation","null","001","All establishments","001","All establishments","2018","4","9552","J","2470","J","100","J"
"0500000US06019","Fresno County, California","221111","Hydroelectric power generation","null","001","All establishments","241","Establishments with 20 to 49 employees","2018","3","N","N","N","N","N","N"
"0500000US06025","Imperial County, California","221116","Geothermal electric power generation","null","001","All establishments","001","All establishments","2018","6","32573","H","6828","H","350","H"
"0500000US06025","Imperial County, California","221116","Geothermal electric power generation","null","001","All establishments","241","Establishments with 20 to 49 employees","2018","4","N","N","N","N","N","N"
"0500000US06027","Inyo County, California","221111","Hydroelectric power generation","null","001","All establishments","001","All establishments","2018","3","4329","J","1047","J","33","J"
"0500000US06029","Kern County, California","221115","Wind electric power generation","null","001","All establishments","001","All establishments","2018","12","12106","H","4783","H","178","J"
"0500000US06029","Kern County, California","221115","Wind electric power generation","null","001","All establishments","210","Establishments with less than 5 employees","2018","3","N","N","N","N","N","N"
"0500000US06029","Kern County, California","221115","Wind electric power generation","null","001","All establishments","220","Establishments with 5 to 9 employees","2018","4","N","N","N","N","N","N"
"0500000US06029","Kern County, California","221115","Wind electric power generation","null","001","All establishments","230","Establishments with 10 to 19 employees","2018","4","N","N","N","N","N","N"
"0500000US06037","Los Angeles County, California","221111","Hydroelectric power generation","null","001","All establishments","001","All establishments","2018","3","4773","J","770","H","7","J"
"0500000US06037","Los Angeles County, California","221114","Solar electric power generation","null","001","All establishments","001","All establishments","2018","11","25926","J","4588","J","198","J"
"0500000US06037","Los Angeles County, California","221114","Solar electric power generation","null","001","All establishments","210","Establishments with less than 5 employees","2018","7","N","N","N","N","N","N"
"0500000US06037","Los Angeles County, California","221118","Other electric power generation","null","001","All establishments","001","All establishments","2018","3","101","H","26","J","5","G"
"0500000US06037","Los Angeles County, California","221118","Other electric power generation","null","001","All establishments","210","Establishments with less than 5 employees","2018","3","N","N","N","N","N","N"
"0500000US06059","Orange County, California","221114","Solar electric power generation","null","001","All establishments","001","All establishments","2018","10","17712","J","3576","J","203","J"
"0500000US06059","Orange County, California","221114","Solar electric power generation","null","001","All establishments","210","Establishments with less than 5 employees","2018","6","N","N","N","N","N","N"
"0500000US06065","Riverside County, California","221114","Solar electric power generation","null","001","All establishments","001","All establishments","2018","3","251","J","89","H","8","J"
"0500000US06065","Riverside County, California","221115","Wind electric power generation","null","001","All establishments","001","All establishments","2018","12","9512","H","2610","H","112","H"
"0500000US06065","Riverside County, California","221115","Wind electric power generation","null","001","All establishments","210","Establishments with less than 5 employees","2018","6","N","N","N","N","N","N"
"0500000US06065","Riverside County, California","221115","Wind electric power generation","null","001","All establishments","220","Establishments with 5 to 9 employees","2018","4","N","N","N","N","N","N"
"0500000US06071","San Bernardino County, California","221114","Solar electric power generation","null","001","All establishments","001","All establishments","2018","4","17991","J","5094","J","162","J"
"0500000US06071","San Bernardino County, California","221115","Wind electric power generation","null","001","All establishments","001","All establishments","2018","4","12877","J","3839","J","120","J"
"0500000US06073","San Diego County, California","221114","Solar electric power generation","null","001","All establishments","001","All establishments","2018","4","204","H","66","H","3","J"
"0500000US06073","San Diego County, California","221114","Solar electric power generation","null","001","All establishments","210","Establishments with less than 5 employees","2018","4","N","N","N","N","N","N"
"0500000US06073","San Diego County, California","221115","Wind electric power generation","null","001","All establishments","001","All establishments","2018","5","24068","J","8180","J","175","H"
"0500000US06073","San Diego County, California","221115","Wind electric power generation","null","001","All establishments","241","Establishments with 20 to 49 employees","2018","3","N","N","N","N","N","N"
"0500000US06075","San Francisco County, California","221114","Solar electric power generation","null","001","All establishments","001","All establishments","2018","3","3314","H","564","J","14","J"
"0500000US06079","San Luis Obispo County, California","221114","Solar electric power generation","null","001","All establishments","001","All establishments","2018","4","7563","J","1385","J","37","J"
"0500000US06079","San Luis Obispo County, California","221114","Solar electric power generation","null","001","All establishments","210","Establishments with less than 5 employees","2018","3","N","N","N","N","N","N"
"0500000US06089","Shasta County, California","221111","Hydroelectric power generation","null","001","All establishments","001","All establishments","2018","3","310","J","95","J","3","J"
"0500000US06089","Shasta County, California","221111","Hydroelectric power generation","null","001","All establishments","210","Establishments with less than 5 employees","2018","3","N","N","N","N","N","N"
"0500000US06095","Solano County, California","221115","Wind electric power generation","null","001","All establishments","001","All establishments","2018","4","4083","G","1012","G","47","H"
